glms_obs
x: rho_score, y: AIDO_score, Percentage: 40, Ratio: 0.4969040247678019
x: rho_score, y: rinalmo_score, Percentage: 40, Ratio: 0.38461538461538464
x: rho_score, y: rnafm_score, Percentage: 40, Ratio: 0.42011834319526625
x: rho_score, y: rnabert_score, Percentage: 40, Ratio: 0.46964285714285714
x: rho_score, y: rnamsm_score, Percentage: 40, Ratio: 0.5035971223021583
x: rho_score, y: evo_score, Percentage: 40, Ratio: 0.4040632054176072
x: rho_score, y: nt_score, Percentage: 40, Ratio: 0.4074074074074074
x: rho_score, y: gena_score, Percentage: 40, Ratio: 0.37130801687763715
x: rho_score, y: grover_score, Percentage: 40, Ratio: 0.39592760180995473
x: rho_score, y: rho_score, Percentage: 40, Ratio: 0.4367816091954023
x: AIDO_score, y: AIDO_score, Percentage: 40, Ratio: 0.49118773946360156
x: rinalmo_score, y: rinalmo_score, Percentage: 40, Ratio: 0.41226053639846744
x: rnafm_score, y: rnafm_score, Percentage: 40, Ratio: 0.4153256704980843
x: rnabert_score, y: rnabert_score, Percentage: 40, Ratio: 0.41762452107279696
x: rnamsm_score, y: rnamsm_score, Percentage: 40, Ratio: 0.44061302681992337
x: evo_score, y: evo_score, Percentage: 40, Ratio: 0.4314176245210728
x: nt_score, y: nt_score, Percentage: 40, Ratio: 0.3969348659003831
x: gena_score, y: gena_score, Percentage: 40, Ratio: 0.3701149425287356
x: grover_score, y: grover_score, Percentage: 40, Ratio: 0.3739463601532567
Okra
x: rho_score, y: AIDO_score, Percentage: 40, Ratio: 0.7142857142857143
x: rho_score, y: rinalmo_score, Percentage: 40, Ratio: 0.7
x: rho_score, y: rnafm_score, Percentage: 40, Ratio: 0.8
x: rho_score, y: rnabert_score, Percentage: 40, Ratio: 0.6190476190476191
x: rho_score, y: rnamsm_score, Percentage: 40, Ratio: 0.42857142857142855
x: rho_score, y: evo_score, Percentage: 40, Ratio: 0.7
x: rho_score, y: nt_score, Percentage: 40, Ratio: 0.47058823529411764
